time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180113:0500,6.66,64.4,0.0,-0.0,0.0,262.2,1.52,330.0,98892.0
20180113:0600,6.44,64.95,0.0,-0.0,0.0,288.0,1.45,334.0,98882.0
20180113:0700,8.34,57.85,0.0,-0.0,0.0,304.2,1.17,282.0,98892.0
20180113:0800,8.55,57.35,49.0,0.0,49.0,304.6,1.24,269.0,98911.0
20180113:0900,8.65,60.05,246.0,514.94,98.0,310.4,1.17,251.0,98931.0
20180113:1000,9.92,68.0,330.0,367.51,179.0,313.8,1.59,214.0,98979.0
20180113:1100,10.63,73.05,510.0,864.99,85.0,308.8,2.28,215.0,98960.0
20180113:1200,11.63,72.3,462.0,479.63,211.0,298.8,3.03,221.0,98843.0
20180113:1300,12.36,69.55,234.0,25.76,221.0,301.8,3.66,222.0,98766.0
20180113:1400,12.59,68.75,214.0,38.94,197.0,301.6,4.0,223.0,98679.0
20180113:1500,12.51,69.35,255.0,370.65,135.0,293.8,4.0,225.0,98659.0
20180113:1600,12.06,72.95,147.0,615.36,40.0,286.2,3.52,224.0,98650.0
20180113:1700,11.4,78.75,0.0,-0.0,0.0,278.8,3.24,230.0,98650.0
20180113:1800,10.85,82.5,0.0,-0.0,0.0,284.2,3.17,245.0,98688.0
20180113:1900,10.53,84.9,0.0,-0.0,0.0,285.8,3.24,250.0,98708.0
